episode,score,avg_reward_5,epsilon,steps,loss
221,-21.0,-20.2,0.3302941218954743,826,0.024050685660389294
222,-20.0,-20.2,0.32864265128599696,842,0.021779918518934162
223,-21.0,-20.2,0.326999438029567,826,0.024090914104047026
224,-21.0,-20.4,0.3253644408394192,824,0.026803527143148105
225,-20.0,-20.6,0.3237376186352221,838,0.02143537743120712
226,-21.0,-20.6,0.322118930542046,764,0.02246798177506712
227,-21.0,-20.8,0.32050833588933575,824,0.022784952627809562
228,-21.0,-20.8,0.31890579420988907,764,0.023364495845590486
229,-21.0,-20.8,0.3173112652388396,824,0.02352372658297276
230,-20.0,-20.8,0.3157247089126454,843,0.02488937075530877
231,-19.0,-20.4,0.3141460853680822,999,0.024686084755012782
232,-20.0,-20.2,0.3125753549412418,987,0.02494441073146892
233,-21.0,-20.2,0.31101247816653554,824,0.0235978425410668
234,-21.0,-20.2,0.30945741577570285,912,0.024934437331004325
235,-20.0,-20.2,0.3079101286968243,843,0.0220198828488031
236,-20.0,-20.4,0.3063705780533402,842,0.01996309809575663
237,-21.0,-20.6,0.30483872516307353,824,0.023442170588557187
238,-21.0,-20.6,0.3033145315372582,792,0.024214352142918887
239,-19.0,-20.2,0.3017979588795719,937,0.02257728333225406
240,-21.0,-20.4,0.30028896908517405,930,0.02376667719474563
241,-21.0,-20.6,0.2987875242397482,764,0.02315509160156228
242,-21.0,-20.6,0.29729358661854943,825,0.022737835994286634
243,-20.0,-20.4,0.29580711868545667,842,0.02073600734387358
244,-21.0,-20.8,0.2943280830920294,824,0.025140255562574276
245,-21.0,-20.8,0.29285644267656924,824,0.02560912820333824
246,-21.0,-20.8,0.2913921604631864,884,0.023780719412723028
247,-21.0,-20.8,0.28993519966087045,852,0.024313003730998723
248,-21.0,-21.0,0.2884855236625661,974,0.022976227722806497
249,-21.0,-21.0,0.28704309604425327,886,0.023843488170121246
250,-21.0,-21.0,0.285607880564032,914,0.023683323739318144
251,-20.0,-20.8,0.28417984116121187,979,0.022092617489807773
252,-21.0,-20.8,0.2827589419554058,852,0.02099562924459933
253,-20.0,-20.6,0.28134514724562876,947,0.02306131020705808
254,-20.0,-20.4,0.2799384215094006,889,0.02529250537818565
255,-20.0,-20.2,0.27853872940185365,838,0.02180880341651907
256,-21.0,-20.4,0.27714603575484437,880,0.024242953215732336
257,-21.0,-20.4,0.2757603055760701,764,0.021593685057568875
258,-20.0,-20.4,0.2743815040481898,904,0.023989877539668313
259,-20.0,-20.4,0.2730095965279488,842,0.024385277197003306
260,-20.0,-20.4,0.27164454854530906,1042,0.023343002421660982
261,-21.0,-20.4,0.2702863258025825,880,0.024640870278281827
262,-21.0,-20.4,0.2689348941735696,886,0.02482733813219054
263,-21.0,-20.6,0.26759021970270175,792,0.024846210417382105
264,-21.0,-20.8,0.2662522686041882,764,0.022449114396999783
265,-21.0,-21.0,0.2649210072611673,764,0.024696557005205746
266,-21.0,-21.0,0.26359640222486147,824,0.024209917267354702
267,-20.0,-20.8,0.26227842021373715,981,0.023048410250176486
268,-20.0,-20.6,0.2609670281126685,842,0.02415760599617761
269,-21.0,-20.6,0.25966219297210513,884,0.024977837525857548
270,-21.0,-20.6,0.2583638820072446,853,0.021859727703129866
271,-21.0,-20.6,0.2570720625972084,824,0.023485903836418288
272,-21.0,-20.8,0.25578670228422234,824,0.021349470780672702
273,-21.0,-21.0,0.25450776877280124,764,0.022825352858242467
274,-21.0,-21.0,0.2532352299289372,792,0.02266121997663412
275,-21.0,-21.0,0.2519690537792925,764,0.0246145989281794
276,-21.0,-21.0,0.2507092085103961,792,0.02129764087217292
277,-21.0,-21.0,0.2494556624678441,782,0.020608847115292747
278,-20.0,-20.8,0.24820838415550486,990,0.023525126732273187
279,-21.0,-20.8,0.24696734223472733,884,0.022524268940933696
280,-21.0,-20.8,0.2457325055235537,764,0.024217333345514288
281,-21.0,-20.8,0.24450384299593592,912,0.02404591663725385
282,-21.0,-20.8,0.24328132378095624,764,0.02458923598131255
283,-21.0,-21.0,0.24206491716205145,854,0.024928811068238476
284,-21.0,-21.0,0.2408545925762412,944,0.02451879849597729
285,-21.0,-21.0,0.23965031961336,764,0.02327848471835541
286,-21.0,-21.0,0.2384520680152932,962,0.023304249260508867
287,-21.0,-21.0,0.23725980767521673,824,0.023377319689475855
288,-21.0,-21.0,0.23607350863684065,792,0.023806998717080922
289,-21.0,-21.0,0.23489314109365644,843,0.025926359359565502
290,-20.0,-20.8,0.23371867538818816,921,0.02257436906671327
291,-21.0,-20.8,0.23255008201124722,854,0.021071255406477533
292,-21.0,-20.8,0.231387331601191,792,0.023439658318973745
293,-21.0,-20.8,0.23023039494318503,884,0.02425335825803019
294,-20.0,-20.6,0.2290792429684691,894,0.025092516327341934
295,-20.0,-20.6,0.22793384675362674,838,0.023577231137309255
296,-21.0,-20.6,0.22679417751985861,824,0.025148151357746083
297,-21.0,-20.6,0.22566020663225933,792,0.021217947489735753
298,-21.0,-20.6,0.22453190559909803,884,0.025240169023492846
299,-21.0,-20.8,0.22340924607110255,824,0.026059374448451106
300,-21.0,-21.0,0.22229219984074702,764,0.025182843857092223
